rowID.x,treatment,wordCount,cluster,enviroCharity,age,female,region,edu_n,inc,poli_n,voteD,voteR,PEBs,time,intent,warmGlow,ccIndex,enviroID,id_enviro,cc_Seriousness,cc_harmTime,cc_personalHarm,cc_cause,wg_good,wg_positive,cc_humancause,cc_denial,control,extrinsic,intrinsic,after
20,1,77,Doubtful and Dismissive,1,40,0,Northeast,5,32.5,0,0,0,-0.4917666776226606,1,-0.2467686588438482,0.21784312256050406,-0.2955265973372605,-0.6407187624824278,2,3,3,3,3,6,6,1,0,0,1,0,0
20,1,77,Doubtful and Dismissive,1,40,0,Northeast,5,32.5,0,0,0,-0.62819742023729,2,-0.030133711670075527,-3.7617750891169384,-0.39613730797164787,-0.4898721395768245,4,3,3,3,3,3,3,1,0,0,1,0,1
21,1,29,Most Concerned,1,28,0,Midwest,6,125,2,1,0,-0.26095078617220174,1,-0.5920481663706733,0.21784312256050406,1.81947875508108,0.8810796087775415,6,4,3,4,3,6,6,1,0,0,1,0,0
21,1,29,Most Concerned,1,28,0,Midwest,6,125,2,1,0,-0.29572709200482733,2,-0.5360112674582889,0.31171241794978877,2.776375813883019,0.5947191275283983,5,4,4,4,3,6,6,1,0,0,1,0,1
22,2,146,Most Concerned,1,41,1,South,6,62.5,2,1,0,0.21824136677315478,1,0.22188868117156077,1.6492795615012592,1.9046564400549733,0.6887800227706962,6,4,4,3,3,7,7,1,0,0,0,1,0
22,2,146,Most Concerned,1,41,1,South,6,62.5,2,1,0,0.07110142248060958,2,-0.13019079108287376,1.6695415869720311,2.776375813883019,0.2932878270848279,5,4,4,4,3,7,7,1,0,0,0,1,1
23,2,110,Most Concerned,1,23,1,Midwest,2,12.5,2,1,0,-0.07566575743048595,1,0.43338594932363694,1.6492795615012592,2.8830276443883776,0.9910130080779666,7,4,4,4,3,7,7,1,0,0,0,1,0
23,2,110,Most Concerned,1,23,1,Midwest,2,12.5,2,1,0,0.0819749513328348,2,0.44117273559503883,1.6695415869720311,2.776375813883019,0.9969647194901499,7,4,4,4,3,7,7,1,0,0,0,1,1
24,2,86,Most Concerned,1,25,1,South,6,12.5,2,1,0,-0.7001861318264877,1,-0.2536641114620489,-1.213593316380251,1.9046564400549733,-0.11609337560069807,5,4,4,3,3,5,5,1,0,0,0,1,0
24,2,86,Most Concerned,1,25,1,South,6,12.5,2,1,0,NA,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,1,1
25,2,84,Most Concerned,1,46,1,South,5,62.5,-2,0,1,0.4379746120582168,1,0.7256556157579342,1.6492795615012592,-0.2955265973372605,-0.09547717812129725,5,3,3,3,3,7,7,1,0,0,0,1,0
25,2,84,Most Concerned,1,46,1,South,5,62.5,-2,0,1,0.22434711788580064,2,0.6938071783310036,0.9949499336364073,-2.470768653473333,-0.3953652121343423,5,3,2,2,3,7,6,1,0,0,0,1,1
26,2,141,Most Concerned,1,24,1,Northeast,5,12.5,2,1,0,-0.6265007592299295,1,-0.14465886231786915,0.9444193023724641,-0.2955265973372605,0.541110524319254,5,3,3,3,3,7,6,1,0,0,0,1,0
26,2,141,Most Concerned,1,24,1,Northeast,5,12.5,2,1,0,-0.685850272568285,2,-0.1543100122988045,1.6695415869720311,0.7017444683813342,0.790484555587907,6,4,3,3,3,7,7,1,0,0,0,1,1
27,1,164,Most Concerned,1,32,1,Midwest,5,32.5,1,1,0,0.41864875253208117,1,0.4519899153700863,1.6492795615012592,2.8830276443883776,0.6723230674070476,6,4,4,4,3,7,7,1,0,0,1,0,0
27,1,164,Most Concerned,1,32,1,Midwest,5,32.5,1,1,0,0.3795270904756934,2,0.4569700429980076,1.6695415869720311,2.776375813883019,0.7225866952327473,6,4,4,4,3,7,7,1,0,0,1,0,1
28,0,214,Most Engaged,0,34,1,Northeast,6,62.5,2,1,0,0.9013678664226327,1,0.6963171561435129,1.6492795615012592,2.8830276443883776,0.9910130080779666,7,4,4,4,3,7,7,1,0,1,0,0,0
28,0,214,Most Engaged,0,34,1,Northeast,6,62.5,2,1,0,0.33981767913455907,2,0.44881108201919334,1.6695415869720311,2.776375813883019,0.9969647194901499,7,4,4,4,3,7,7,1,0,1,0,0,1
29,2,44,Most Concerned,1,38,1,South,3,62.5,-2,0,1,0.021411448537482107,1,0.4091152132267431,1.6492795615012592,-1.359075486644558,0.5171729734177511,6,3,2,3,3,7,7,1,0,0,0,1,0
29,2,44,Most Concerned,1,38,1,South,3,62.5,-2,0,1,0.21591783155335773,2,0.42906037880737596,1.6695415869720311,0.7017444683813342,0.40811283775331975,6,4,3,3,3,7,7,1,0,0,0,1,1
30,0,67,Doubtful and Dismissive,0,32,0,South,3,87.5,NA,NA,NA,-0.48098669810859734,1,-0.5497109779089906,-1.213593316380251,-0.2955265973372605,-0.24275845758063413,5,3,3,3,3,5,5,1,0,1,0,0,0
30,0,67,Doubtful and Dismissive,0,32,0,South,3,87.5,NA,NA,NA,-0.42006811378519265,2,-0.4215879671471204,-1.0461167510724536,-0.39613730797164787,-0.035969386709177105,5,3,3,3,3,5,5,1,0,1,0,0,1
31,2,132,Most Engaged,1,41,0,West,5,62.5,2,1,0,0.5338779122714129,1,0.3145557441227982,0.21784312256050406,2.8830276443883776,0.10338520400804652,6,4,4,4,3,6,6,1,0,0,0,1,0
31,2,132,Most Engaged,1,41,0,West,5,62.5,2,1,0,0.21713364173091862,2,0.3321736470325409,0.31171241794978877,2.776375813883019,0.30952852653409163,6,4,4,4,3,6,6,1,0,0,0,1,1
32,1,141,Most Concerned,1,46,1,West,5,12.5,0,0,0,-0.04193005296340031,1,-0.14122654661232617,1.6492795615012592,-0.2955265973372605,0.30192997509925845,5,3,3,3,3,7,7,1,0,0,1,0,0
32,1,141,Most Concerned,1,46,1,West,5,12.5,0,0,0,-0.34398281530217567,2,-0.2512934520298558,0.31171241794978877,0.7017444683813342,0.5030639742946472,5,4,3,3,3,6,6,1,0,0,1,0,1
33,1,143,Most Concerned,1,30,0,West,5,12.5,2,1,0,-0.43257877848421383,1,-0.4430531496389846,-1.213593316380251,0.8411075507476757,0.9910130080779666,7,4,3,3,3,5,5,1,0,0,1,0,0
33,1,143,Most Concerned,1,30,0,West,5,12.5,2,1,0,-0.5458332036466839,2,-0.19604913780817115,-1.0461167510724536,1.7395179673721841,0.8909616557357637,6,4,4,3,3,5,5,1,0,0,1,0,1
34,2,28,Most Engaged,1,47,0,West,6,125,-1,0,1,0.6756881427794188,1,0.4127335457373904,1.6492795615012592,0.768022291970037,0.00638901850780517,7,3,4,3,2,7,7,0,0,0,0,1,0
34,2,28,Most Engaged,1,47,0,West,6,125,-1,0,1,-0.3482589111105807,2,-0.17867624070358495,-0.36287923538583505,0.6407205385391871,-0.11565493260443384,7,3,3,4,1,6,5,0,1,0,0,1,1
35,0,111,Most Concerned,0,47,1,West,2,62.5,-1,0,1,-0.12424770356963868,1,0.7515392187203703,0.21784312256050406,-1.4174233474179383,0.024426719594777473,5,2,0,3,2,6,6,0,0,1,0,0,0
35,0,111,Most Concerned,0,47,1,West,2,62.5,-1,0,1,0.14655788527600186,2,0.40437249596258473,0.9949499336364073,-3.568650429826315,0.35844630667022237,5,2,2,2,2,7,6,0,0,1,0,0,1
36,0,132,Doubtful and Dismissive,0,42,0,South,3,62.5,-1,0,1,-0.2790675717686688,1,-0.3395887349459209,-1.213593316380251,-1.8757586624468177,0.2012441763635478,6,0,0,1,2,5,5,0,0,1,0,0,0
